sort,family_scientific,family_english,AM,AMR,E,EX,HIST,IO,MM,N,NR,NRR,OM,PM,PMR,RAR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,red_list,status_birdlife,water_bird,strict_water_bird,ADU,common_name,scientific_name,avibaseid,wikiDataID,iNaturalisttaxonID,IUCNtaxonID,ObservationorgID,GBIFID,Clements--code,Clements--rank,Clements--scientific_name,Clements--common_name,H&M--sort,,,,,
1,Struthionidae,Ostriches,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1,Common Ostrich,Struthio camelus,2247CB050A76CF8E,Q17592,20526,45020636,16601,2495150,ostric2,species,Struthio camelus,Common Ostrich,001-001-001-001,,,,,
2,Struthionidae,Ostriches,,,,,,,,,,,,,,,,,,,,,,,,Vulnerable,,,,1200,Somali Ostrich,Struthio molybdophanes,40329BB6BD7F02F5,Q1988064,472777,22732795,79187,2495149,ostric3,species,Struthio molybdophanes,Somali Ostrich,001-001-001-002,,,,,
3,Anatidae,Ducks and Geese,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,100,White-faced Whistling Duck,Dendrocygna viduata,A534AFEA126DBD62,Q742574,6898,22679763,1614,2498396,wfwduc1,species,Dendrocygna viduata,White-faced Whistling-Duck,008-001-001-001,,,,,
4,Anatidae,Ducks and Geese,,,,,,,,TRUE,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,101,Fulvous Whistling Duck,Dendrocygna bicolor,9A60617EE376ABE9,Q740741,6899,22679746,773,2498402,fuwduc,species,Dendrocygna bicolor,Fulvous Whistling-Duck,008-001-001-005,,,,,
5,Anatidae,Ducks and Geese,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,104,White-backed Duck,Thalassornis leuconotus,2EEDACD56C704AE5,Q529857,6902,22679785,,2498229,whbduc1,species,Thalassornis leuconotus,White-backed Duck,008-011-001-001,,,,,
6,Anatidae,Ducks and Geese,,,,,,,,,,,,,,,,,,,,,,,,Vulnerable,,TRUE,TRUE,103,Maccoa Duck,Oxyura maccoa,1C2F4E80D146FA22,Q279939,7076,22679820,70460,5232470,macduc1,species,Oxyura maccoa,Maccoa Duck,008-002-003-005,,,,,
7,Anatidae,Ducks and Geese,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,89,Egyptian Goose,Alopochen aegyptiaca,DA2F24E310CF72A6,Q274179,72486,22679993,152,2498252,egygoo,species,Alopochen aegyptiaca,Egyptian Goose,008-008-004-001,,,,,
8,Anatidae,Ducks and Geese,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,88,Spur-winged Goose,Plectropterus gambensis,EB01B24C6C4CDD54,Q247412,7146,22680057,,5232465,spwgoo1,species,Plectropterus gambensis,Spur-winged Goose,008-011-004-001,,,,,
9,Anatidae,Ducks and Geese,,TRUE,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,91,Knob-billed Duck,Sarkidiornis melanotos,3948131B5C866873,Q426968,,45953631,,2498001,comduc2,species,Sarkidiornis melanotos,Knob-billed Duck,008-011-008-001,,,,,
10,Anatidae,Ducks and Geese,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,92,African Pygmy Goose,Nettapus auritus,EC7C161891215A81,Q386949,7127,22680095,70483,2498313,afrpyg1,species,Nettapus auritus,African Pygmy-Goose,008-011-012-001,,,,,
11,Anatidae,Ducks and Geese,,TRUE,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,102,Southern Pochard,Netta erythrophthalma,36C0242EAEB3388E,Q269082,7123,22680354,70507,2498177,soupoc1,species,Netta erythrophthalma,Southern Pochard,008-009-005-003,,,,,
12,Anatidae,Ducks and Geese,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,Vulnerable,Rare/Accidental,TRUE,TRUE,1296,Common Pochard,Aythya ferina,A96692E0C9F7508B,Q26742,7045,22680358,184,2498255,compoc,species,Aythya ferina,Common Pochard,008-009-006-001,,,,,
13,Anatidae,Ducks and Geese,,,,,,,,,,,,TRUE,,,,,,,,,,,,Near Threatened,,TRUE,TRUE,1304,Ferruginous Duck,Aythya nyroca,7CF91527F5832F30,Q191723,7055,22680373,772,2498259,ferduc,species,Aythya nyroca,Ferruginous Duck,008-009-006-007,,,,,
14,Anatidae,Ducks and Geese,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,Rare/Accidental,TRUE,TRUE,1298,Tufted Duck,Aythya fuligula,67CEA1C1FC88F1DB,Q26444,7046,22680391,144,2498261,tufduc,species,Aythya fuligula,Tufted Duck,008-009-006-010,,,,,
15,Anatidae,Ducks and Geese,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,93,Northern Shoveler,Spatula clypeata,ED4CE8E7CFF43696,Q28106731,558438,22680247,175,8332393,norsho,species,Spatula clypeata,Northern Shoveler,008-010-005-008,,,,,
16,Anatidae,Ducks and Geese,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,885,Garganey,Spatula querquedula,F577BA0F5BB7BD3F,Q28106902,558429,22680313,355,2680976,gargan,species,Spatula querquedula,Garganey,008-010-005-001,,,,,
17,Anatidae,Ducks and Geese,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,99,Hottentot Teal,Spatula hottentota,FA831F653458789B,Q28106807,558430,22680332,2012,2680976,hottea1,species,Spatula hottentota,Hottentot Teal,008-010-005-002,,,,,
18,Anatidae,Ducks and Geese,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,Rare/Accidental,TRUE,TRUE,1282,Gadwall,Mareca strepera,C235A4D712BB8855,Q28106966,558439,22680149,142,2680976,gadwal,species,Mareca strepera,Gadwall,008-010-007-002,,,,,
19,Anatidae,Ducks and Geese,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,Rare/Accidental,TRUE,TRUE,1280,Eurasian Wigeon,Mareca penelope,15EE0D3685082E13,Q28106837,558441,22680157,176,2680976,eurwig,species,Mareca penelope,Eurasian Wigeon,008-010-007-003,,,,,
20,Anatidae,Ducks and Geese,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,98,Cape Teal,Anas capensis,25DA0F41467279DF,Q194317,6986,22680145,1674,2498094,captea1,species,Anas capensis,Cape Teal,008-010-008-020,,,,,
21,Anatidae,Ducks and Geese,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,95,African Black Duck,Anas sparsa,1EAFAD9FAED6B99B,Q511979,6976,22680170,19275,2498148,afbduc1,species,Anas sparsa,African Black Duck,008-010-008-001,,,,,
22,Anatidae,Ducks and Geese,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,Least Concern,,TRUE,TRUE,1016,Mallard,Anas platyrhynchos,85625D75F2524457,Q25348,6930,22680186,198,2498132,mallar3,species,Anas platyrhynchos,Mallard,008-010-008-009,,,,,
23,Anatidae,Ducks and Geese,,TRUE,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,96,Yellow-billed Duck,Anas undulata,7F64AD87E76FBFDD,Q535206,6965,22680221,,2498156,yebduc1,species,Anas undulata,Yellow-billed Duck,008-010-008-002,,,,,
24,Anatidae,Ducks and Geese,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,TRUE,TRUE,97,Red-billed Teal,Anas erythrorhyncha,8F6876AC4DDE3CB7,Q387404,6984,22680290,,2498064,rebduc1,species,Anas erythrorhyncha,Red-billed Duck,008-010-008-022,,,,,
25,Anatidae,Ducks and Geese,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,886,Northern Pintail,Anas acuta,56CCA7179C9FA71D,Q25450,6933,22680301,160,2498112,norpin,species,Anas acuta,Northern Pintail,008-010-008-023,,,,,
26,Anatidae,Ducks and Geese,,,,,,,,,,,,TRUE,,,,,,,,,,,,Least Concern,,TRUE,TRUE,1274,Eurasian Teal,Anas crecca,BC6C3CCE5C1B5D9B,Q25700,6937,22729717,200,2498122,gnwtea,species,Anas crecca,Green-winged Teal,008-010-008-026,,,,,
27,Numididae,Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,192,Helmeted Guineafowl,Numida meleagris,1044B438EE7556BB,Q251842,1428,22679555,8616,2473341,helgui,species,Numida meleagris,Helmeted Guineafowl,011-001-001-001,,,,,
28,Numididae,Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1260,Vulturine Guineafowl,Acryllium vulturinum,F7A3FA3513EB4FB0,Q390270,1449,22679572,70416,2473339,vulgui1,species,Acryllium vulturinum,Vulturine Guineafowl,011-001-003-001,,,,,
29,Numididae,Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,193,Crested Guineafowl,Guttera pucherani,D5813CA402591053,Q854855,1439,22725212,79272,2473325,cregui1,species,Guttera pucherani,Crested Guineafowl,011-001-004-002,,,,,
29.1,Numididae,Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenya Crested Guineafowl,Guttera pucherani pucherani,35D60F12A5430A81,Q27601418,569698,,243184,7191088,cregui3,group (monotypic),Guttera pucherani pucherani,Crested Guineafowl (Kenya),011-001-004-002-003,,,,,
29.2,Numididae,Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crested Guineafowl,Guttera (pucherani) verreauxi,9D29C252957FF0E9,,,,,,cregui2,group (polytypic),Guttera pucherani verreauxi/sclateri,Crested Guineafowl (Western),011-001-004-002-001,,,,,
30,Odontophoridae,Stone Partridge,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1250,Stone Partridge,Ptilopachus petrosus,57B0515966C00AC1,Q1262423,1224,22679110,70346,2474089,stopar1,species,Ptilopachus petrosus,Stone Partridge,012-001-001-001,,,,,
